model_name,iteration,fold,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC
DecisionTree,11,1,0.66947,0.76326,0.391304347826087,0.9444444444444444,0.81818,0.70833,0.42045
KNN,11,1,0.56554,0.56345,0.3,0.8367346938775511,0.27273,0.85417,0.13172
OneClassSVM,11,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,11,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
IsolationForest,11,1,0.64242,0.69318,0.3684210526315789,0.9,0.63636,0.75,0.32204
Xgboost,11,1,0.75698,0.7661,0.5833333333333334,0.9148936170212766,0.63636,0.89583,0.51493
RandomForestClassifier,12,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
DecisionTree,12,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
KNN,12,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,12,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,12,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,12,0,0.48696,0.48674,0.16666666666666666,0.8085106382978723,0.18182,0.79167,-0.02565
Xgboost,12,0,0.57994,0.57008,0.5,0.8363636363636363,0.18182,0.95833,0.21712
RandomForestClassifier,12,1,0.59786,0.71117,0.32142857142857145,0.9354838709677419,0.81818,0.60417,0.3294
DecisionTree,12,1,0.66947,0.76326,0.391304347826087,0.9444444444444444,0.81818,0.70833,0.42045
KNN,12,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898
OneClassSVM,12,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,12,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
IsolationForest,12,1,0.53684,0.69413,0.2857142857142857,0.9583333333333334,0.90909,0.47917,0.30782
Xgboost,12,1,0.56554,0.56345,0.3,0.8367346938775511,0.27273,0.85417,0.13172
RandomForestClassifier,13,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
DecisionTree,13,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
KNN,13,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,13,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,13,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,13,0,0.47695,0.47633,0.15384615384615385,0.8043478260869565,0.18182,0.77083,-0.04449
Xgboost,13,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
RandomForestClassifier,13,1,0.59786,0.71117,0.32142857142857145,0.9354838709677419,0.81818,0.60417,0.3294
DecisionTree,13,1,0.66947,0.76326,0.391304347826087,0.9444444444444444,0.81818,0.70833,0.42045
KNN,13,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898
OneClassSVM,13,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,13,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
IsolationForest,13,1,0.64242,0.7178,0.36363636363636365,0.918918918918919,0.72727,0.70833,0.35083
Xgboost,13,1,0.56554,0.56345,0.3,0.8367346938775511,0.27273,0.85417,0.13172
RandomForestClassifier,14,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
DecisionTree,14,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
KNN,14,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,14,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,14,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,14,0,0.51785,0.52178,0.21428571428571427,0.8222222222222222,0.27273,0.77083,0.03988
Xgboost,14,0,0.57994,0.57008,0.5,0.8363636363636363,0.18182,0.95833,0.21712
RandomForestClassifier,14,1,0.61411,0.69697,0.3333333333333333,0.9142857142857143,0.72727,0.66667,0.31232
DecisionTree,14,1,0.66947,0.76326,0.391304347826087,0.9444444444444444,0.81818,0.70833,0.42045
KNN,14,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898
OneClassSVM,14,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,14,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
IsolationForest,14,1,0.60036,0.66193,0.3181818181818182,0.8918918918918919,0.63636,0.6875,0.26084
Xgboost,14,1,0.54096,0.54261,0.25,0.8297872340425532,0.27273,0.8125,0.08246
RandomForestClassifier,15,0,0.56618,0.55966,0.4,0.8333333333333334,0.18182,0.9375,0.16686
DecisionTree,15,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
KNN,15,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,15,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,15,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,15,0,0.48696,0.48674,0.16666666666666666,0.8085106382978723,0.18182,0.79167,-0.02565
Xgboost,15,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
RandomForestClassifier,15,1,0.59786,0.71117,0.32142857142857145,0.9354838709677419,0.81818,0.60417,0.3294
DecisionTree,15,1,0.66947,0.76326,0.391304347826087,0.9444444444444444,0.81818,0.70833,0.42045
KNN,15,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898
OneClassSVM,15,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,15,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
IsolationForest,15,1,0.58683,0.65152,0.30434782608695654,0.8888888888888888,0.63636,0.66667,0.24198
Xgboost,15,1,0.52951,0.52841,0.25,0.8235294117647058,0.18182,0.875,0.06464
RandomForestClassifier,16,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
DecisionTree,16,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
KNN,16,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,16,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,16,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,16,0,0.47695,0.47633,0.15384615384615385,0.8043478260869565,0.18182,0.77083,-0.04449
Xgboost,16,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
RandomForestClassifier,16,1,0.59786,0.71117,0.32142857142857145,0.9354838709677419,0.81818,0.60417,0.3294
DecisionTree,16,1,0.66947,0.76326,0.391304347826087,0.9444444444444444,0.81818,0.70833,0.42045
KNN,16,1,0.56554,0.56345,0.3,0.8367346938775511,0.27273,0.85417,0.13172
OneClassSVM,16,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,16,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
IsolationForest,16,1,0.73932,0.73106,0.6,0.8979591836734694,0.54545,0.91667,0.47971
Xgboost,16,1,0.59224,0.58428,0.375,0.8431372549019608,0.27273,0.89583,0.19175
RandomForestClassifier,17,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
DecisionTree,17,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
KNN,17,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,17,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,17,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,17,0,0.48457,0.49337,0.16666666666666666,0.8113207547169812,0.09091,0.89583,-0.01708
Xgboost,17,0,0.57994,0.57008,0.5,0.8363636363636363,0.18182,0.95833,0.21712
RandomForestClassifier,17,1,0.59786,0.71117,0.32142857142857145,0.9354838709677419,0.81818,0.60417,0.3294
DecisionTree,17,1,0.55602,0.56723,0.26666666666666666,0.8409090909090909,0.36364,0.77083,0.12027
KNN,17,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898
OneClassSVM,17,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,17,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
IsolationForest,17,1,0.64242,0.7178,0.36363636363636365,0.918918918918919,0.72727,0.70833,0.35083
Xgboost,17,1,0.56554,0.56345,0.3,0.8367346938775511,0.27273,0.85417,0.13172
RandomForestClassifier,18,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
DecisionTree,18,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
KNN,18,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,18,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,18,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,18,0,0.44968,0.4517,0.1,0.7959183673469388,0.09091,0.8125,-0.10027
Xgboost,18,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
RandomForestClassifier,18,1,0.59786,0.71117,0.32142857142857145,0.9354838709677419,0.81818,0.60417,0.3294
DecisionTree,18,1,0.66947,0.76326,0.391304347826087,0.9444444444444444,0.81818,0.70833,0.42045
KNN,18,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898
OneClassSVM,18,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
