model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC,ATT
Xgboost,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.1 0.1 0.3 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.3 0.4 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.9 0.9 1. ],0.43999999999999995,2
RandomForest,1,0.43574,0.55,1.0,0.5263157894736842,0.1,1.0,0.22942,[0.  0.1 0.1 0.3 0.3 1. ],[0.  0.  0.2 0.2 0.5 1. ],0.435,3
DecisionTree,1,0.43574,0.55,1.0,0.5263157894736842,0.1,1.0,0.22942,[0.  0.1 1. ],[0. 0. 1.],0.55,3
KNN,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.1 0.3 0.3 0.5 0.5 0.6 1. ],[0.  0.  0.2 0.2 0.5 0.5 0.6 0.6 1. ],0.48000000000000004,3
OneClassSVM,1,0.44862,0.45,0.45454545454545453,0.4444444444444444,0.5,0.4,-0.1005,[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.5 0.5 0.6 0.6 1. ],[0.  0.  0.2 0.2 0.3 0.3 0.4 0.4 0.7 0.7 1.  1. ],0.41000000000000003,3
LocalOutlierFactor,1,0.44862,0.45,0.4444444444444444,0.45454545454545453,0.4,0.5,-0.1005,[0.  0.1 0.4 0.4 0.5 0.5 0.6 0.6 0.8 0.8 0.9 0.9 1.  1. ],[0.  0.  0.  0.1 0.1 0.4 0.4 0.6 0.6 0.7 0.7 0.9 0.9 1. ],0.67,3
IsolationForest,1,0.47917,0.5,0.5,0.5,0.3,0.7,0.0,[0.  0.1 0.3 0.3 0.3 0.4 0.6 0.6 0.8 0.8 0.9 0.9 1. ],[0.  0.1 0.1 0.4 0.6 0.6 0.6 0.7 0.7 0.9 0.9 1.  1. ],0.46499999999999997,3
Xgboost,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.6 0.7 0.7 0.9 0.9 1.  1. ],[0.  0.  0.  0.2 0.2 0.4 0.4 0.6 0.6 0.7 0.8 0.8 0.9 0.9 1. ],0.505,3
RandomForest,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.4 0.6 1. ],[0.  0.2 0.9 1. ],0.47,4
DecisionTree,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.4 0.6 1. ],[0.  0.2 0.9 1. ],0.47,4
KNN,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5,4
OneClassSVM,1,0.62667,0.65,0.8,0.6,0.4,0.9,0.34641,[0.  0.4 0.6 1. ],[0.  0.2 0.9 1. ],0.47,4
LocalOutlierFactor,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5,4
IsolationForest,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.2 0.6 1. ],[0.  0.7 0.8 1. ],0.27,4
Xgboost,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.4 0.6 1. ],[0.  0.2 0.9 1. ],0.47,4
RandomForest,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.4 0.5 0.7 0.7 1. ],[0.  0.2 0.5 0.5 0.7 1. ],0.57,5
DecisionTree,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.3 0.4 0.4 0.6 1. ],[0.  0.2 0.2 0.3 0.4 1. ],0.6,5
KNN,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.3 1. ],[0.  0.3 1. ],0.49999999999999994,5
OneClassSVM,1,0.45055,0.5,0.5,0.5,0.8,0.2,0.0,[0.  0.1 0.2 0.2 0.4 0.4 0.6 0.6 0.7 0.7 0.8 1. ],[0.  0.  0.  0.3 0.3 0.5 0.5 0.6 0.6 0.9 0.9 1. ],0.5,5
LocalOutlierFactor,1,0.53964,0.55,0.5714285714285714,0.5384615384615384,0.4,0.7,0.10483,[0.  0.  0.  0.1 0.1 0.3 0.4 0.4 0.5 0.5 0.7 0.7 0.8 0.8 1. ],[0.  0.1 0.2 0.2 0.4 0.5 0.5 0.6 0.6 0.7 0.7 0.9 0.9 1.  1. ],0.35,5
IsolationForest,1,0.40476,0.5,0.5,0.5,0.1,0.9,0.0,[0.  0.  0.2 0.2 0.4 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 0.9 0.9 1. ],[0.  0.1 0.1 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.7 0.9 0.9 1.  1. ],0.5299999999999999,5
Xgboost,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.2 0.5 0.5 0.6 0.6 0.7 1. ],[0.  0.1 0.1 0.4 0.4 0.5 0.7 1. ],0.605,5
RandomForest,1,0.31034,0.45,0.0,0.47368421052631576,0.0,0.9,-0.22942,[0.  0.  0.2 0.2 0.4 0.4 1. ],[0.  0.1 0.1 0.2 0.2 0.3 1. ],0.5499999999999999,6
DecisionTree,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.6 1. ],[0.  0.1 0.5 1. ],0.545,6
KNN,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5,6
OneClassSVM,1,0.44862,0.45,0.4444444444444444,0.45454545454545453,0.4,0.5,-0.1005,[0.  0.  0.1 0.1 0.6 0.6 0.7 0.7 0.8 0.8 0.9 0.9 1. ],[0.  0.1 0.1 0.4 0.4 0.6 0.6 0.8 0.8 0.9 0.9 1.  1. ],0.45999999999999996,6
